,county,covid-19,Total Population,gender,poverty,education,ethnicity,white,black,american indian,asian,native hawaiian,income,marriage,non-white
818,"Marshall County, Iowa",4018,39804,19886,2005,4370,9140,27438,785,153,1514,33,47696,21732.984,2452
819,"Mills County, Iowa",1281,15023,7551,254,2067,461,13330,77,21,48,10,60384,7992.236,146
820,"Mitchell County, Iowa",1043,10588,5359,173,1272,193,10080,42,3,45,4,62037,6342.212,90
821,"Monona County, Iowa",545,8675,4545,386,798,236,8051,28,146,27,2,50807,4866.675,201
822,"Monroe County, Iowa",670,7761,3930,268,923,117,7192,18,12,16,2,48423,4408.248,46
823,"Montgomery County, Iowa",763,10016,5111,507,1058,371,9603,25,18,21,2,45665,5518.816,64
824,"Muscatine County, Iowa",3574,42703,21612,2118,4736,7769,32633,1086,58,404,0,51135,21863.936,1548
825,"O'Brien County, Iowa",1589,13796,6923,392,1699,985,12609,159,39,79,11,57629,8098.252,277
826,"Osceola County, Iowa",612,6016,2950,366,504,603,5341,28,18,21,36,50706,3489.28,67
827,"Page County, Iowa",1358,15205,7182,865,1709,464,13686,365,60,117,0,47321,7967.42,542
828,"Palo Alto County, Iowa",809,8941,4435,106,1135,274,8391,52,15,37,6,51679,4756.612,104
829,"Plymouth County, Iowa",3353,25141,12779,591,3133,1496,22941,354,48,111,117,59460,15713.125,513
830,"Pocahontas County, Iowa",724,6725,3435,208,707,354,6383,66,10,29,23,53074,3799.625,105
831,"Polk County, Iowa",41499,485418,246180,21804,90364,48055,362260,34990,1081,24313,280,57080,234942.312,60384
832,"Pottawattamie County, Iowa",8270,93478,47397,4457,10059,7660,79181,1836,391,773,76,47921,45523.786,3000
833,"Poweshiek County, Iowa",1204,18391,9478,773,1941,529,17004,320,53,221,21,50139,9029.981,594
834,"Ringgold County, Iowa",365,4922,2522,92,448,71,4447,2,7,8,0,50196,2716.944,17
835,"Sac County, Iowa",1039,9711,4907,401,952,354,9161,46,11,31,6,59653,5671.224,88
836,"Scott County, Iowa",14110,172938,88125,8887,25762,12092,134578,13701,324,4824,57,58465,85950.186,18849
837,"Shelby County, Iowa",951,11544,5901,504,1416,412,10890,53,29,49,3,55229,6764.784,131
838,"Sioux County, Iowa",4345,34900,17314,720,5057,4914,29919,184,87,219,5,55209,21882.3,490
839,"Story County, Iowa",8008,97355,46456,10451,18586,5032,79944,2980,226,5444,29,45951,38357.87,8650
840,"Tama County, Iowa",1756,16962,8610,1012,1422,1804,13284,125,1258,80,2,52315,9312.138,1463
841,"Taylor County, Iowa",544,6160,3087,167,479,399,5304,1,13,15,1,44763,3554.32,29
842,"Union County, Iowa",1027,12303,6318,527,1388,399,11223,114,25,65,7,43735,6397.56,204
843,"Van Buren County, Iowa",455,7104,3460,326,569,114,6878,26,6,24,0,41781,4233.984,56
844,"Wapello County, Iowa",3133,35102,17629,2475,3122,4332,27295,1443,66,622,518,42889,17726.51,2131
845,"Warren County, Iowa",3810,50867,25885,1446,7954,1658,47897,452,80,380,17,54251,28383.786,912
846,"Washington County, Iowa",1882,22100,11169,726,2462,1612,19958,177,19,113,3,59565,12751.7,309
847,"Wayne County, Iowa",381,6426,3293,385,432,61,6228,10,17,24,1,46743,3707.802,51
848,"Webster County, Iowa",4447,36348,17481,2618,3844,2063,31372,1773,112,295,16,48862,16247.556,2180
849,"Winnebago County, Iowa",1100,10474,5272,274,1402,594,9472,204,13,94,3,45722,5216.052,311
850,"Winneshiek County, Iowa",1381,20090,10130,453,2683,585,18705,119,19,178,12,54036,10828.51,316
851,"Woodbury County, Iowa",12284,102687,51803,5089,11360,18746,72237,5076,1893,2957,651,47731,50213.943,9926
852,"Worth County, Iowa",521,7422,3641,241,772,211,6946,60,7,26,1,45566,4059.834,93
853,"Wright County, Iowa",1529,12644,6347,580,1178,2394,10107,73,15,67,8,52825,6928.912,155
854,"Allen County, Kansas",653,12503,6395,957,1223,502,10991,173,135,67,2,45840,6414.039,375
855,"Anderson County, Kansas",564,7877,3980,337,565,155,7259,26,46,47,0,43864,4411.12,119
