,county,covid-19,Total Population,gender,poverty,education,ethnicity,white,black,american indian,asian,native hawaiian,income,marriage,non-white
0,"Autauga County, Alabama",4190,55639,28587,3504,6932,2117,41582,11352,184,873,22,46814,28932.28,12409
1,"Baldwin County, Alabama",13601,218289,112400,7250,32804,12686,186495,18001,1291,2029,122,50953,120495.528,21321
2,"Barbour County, Alabama",1514,25026,11870,3018,1380,1510,11086,11850,58,103,0,37850,9635.01,12011
3,"Bibb County, Alabama",1834,22374,10352,1875,1207,740,16442,4390,39,26,9,34300,9441.828,4455
4,"Blount County, Alabama",4641,57755,29078,3834,3667,5771,49764,826,188,174,11,38808,32342.8,1188
5,"Bullock County, Alabama",859,10173,4595,1074,457,503,2281,7388,1,9,7,31944,3468.993,7398
6,"Butler County, Alabama",1508,19726,10676,1194,1448,260,9679,8389,23,143,5,39988,8620.262,8555
7,"Calhoun County, Alabama",9494,114324,59399,7486,9145,5010,79519,25365,386,1164,112,40195,53732.28,26915
8,"Chambers County, Alabama",2341,33427,17499,1628,2580,1237,18616,13441,71,385,11,38508,15543.555,13897
9,"Cherokee County, Alabama",1414,26035,13160,973,1261,400,22563,987,109,55,1,37869,15412.72,1151
10,"Chilton County, Alabama",2970,44147,22627,2655,2510,4418,34878,4040,112,176,5,38778,22735.705,4328
11,"Choctaw County, Alabama",490,12755,6723,849,786,113,7039,5217,24,19,0,42231,5943.83,5260
12,"Clarke County, Alabama",2390,23866,12517,3023,1512,206,11970,10223,74,91,1,40822,10501.04,10388
13,"Clay County, Alabama",1141,13285,6887,631,725,449,11261,1942,45,46,4,37179,7094.19,2033
14,"Cleburne County, Alabama",1026,14952,7684,689,1159,284,13740,457,42,21,2,37734,8148.84,520
15,"Coffee County, Alabama",3594,52238,26423,3774,5240,4887,35759,8643,405,892,57,45262,27007.046,9940
16,"Colbert County, Alabama",4660,54957,28509,2912,4422,1732,43241,9222,223,432,9,41941,26873.973,9877
17,"Conecuh County, Alabama",837,12219,6268,1254,727,256,5835,5096,71,33,0,36908,5009.79,5200
18,"Coosa County, Alabama",517,10696,5197,500,688,201,6807,3000,25,8,0,34683,4973.64,3033
19,"Covington County, Alabama",2913,37096,19062,2857,2597,654,30657,4563,140,240,0,37930,18622.192,4943
20,"Crenshaw County, Alabama",954,13826,7237,699,1297,187,9333,3085,48,83,2,38161,6719.436,3216
21,"Cullman County, Alabama",7079,83345,42266,5084,6080,4146,78298,914,287,522,64,42659,45006.3,1723
22,"Dale County, Alabama",3325,49293,25028,4427,4549,3254,32602,10100,217,648,42,40111,23562.054,10965
23,"Dallas County, Alabama",2769,38184,20583,4431,2734,296,10363,26812,56,145,12,41195,13898.976,27013
24,"DeKalb County, Alabama",6900,71430,36123,5315,4446,11744,54529,1019,715,237,16,35100,40572.24,1971
25,"Elmore County, Alabama",6435,81526,42138,3076,9796,2793,62540,18126,270,669,28,47270,42311.994,19065
26,"Escambia County, Alabama",2661,36775,18085,4410,2352,751,22004,10922,1488,108,22,37137,15114.525,12518
27,"Etowah County, Alabama",10031,102721,53190,6589,8103,4895,77731,14999,332,921,39,39852,48073.428,16252
28,"Fayette County, Alabama",1430,16406,8344,1490,1079,396,13552,1720,43,49,1,38001,9466.262,1812
29,"Franklin County, Alabama",3270,31587,15956,2314,2252,6259,23581,1139,128,67,2,37362,15509.217,1334
30,"Geneva County, Alabama",1677,26383,13592,1497,1484,1296,21654,2231,166,86,7,38358,14695.331,2483
31,"Greene County, Alabama",672,8221,4322,1329,399,61,1285,6227,5,7,0,35992,2573.173,6239
32,"Hale County, Alabama",1440,14754,7748,1123,1071,149,5972,8313,34,18,5,41190,5709.798,8365
33,"Henry County, Alabama",1247,17123,8862,893,1527,334,11842,4232,50,73,0,45409,9177.928,4355
34,"Houston County, Alabama",7279,105319,54845,7680,10553,4481,68251,28232,321,1260,59,47072,49394.611,29813
35,"Jackson County, Alabama",5097,51765,26442,2944,3992,1681,45123,1624,680,214,2,40089,28056.63,2518
36,"Jefferson County, Alabama",52339,658615,347168,45576,102103,34856,324252,280112,1207,13043,311,58424,289131.985,294362
37,"Lamar County, Alabama",1056,13854,7012,996,744,208,11924,1421,28,6,3,37161,7508.868,1455
38,"Lauderdale County, Alabama",6478,92870,48272,4762,11224,3078,76491,9164,295,748,31,40729,46435.0,10207
39,"Lawrence County, Alabama",2044,32969,17165,2092,2548,895,24714,3302,1440,84,7,38098,18099.981,4826
40,"Lee County, Alabama",10320,163461,82983,17749,23336,9135,109795,39252,365,8544,108,42468,73557.45,48161
41,"Limestone County, Alabama",6822,96921,48595,5117,12529,7248,75692,13177,458,1857,70,47695,48945.105,15492
42,"Lowndes County, Alabama",945,9936,5201,1014,589,140,2807,7149,9,15,0,44921,3656.448,7173
43,"Macon County, Alabama",999,18437,10041,1939,1434,361,3187,15395,48,74,4,37834,6692.631,15517
44,"Madison County, Alabama",22197,367686,188110,18340,72444,24936,237497,91079,2132,10179,450,57128,185681.43,103390
45,"Marengo County, Alabama",1793,19138,10145,1564,1332,368,8375,10133,6,54,1,43854,7234.164,10193
46,"Marion County, Alabama",2087,29818,15058,1666,1780,863,26093,1094,82,75,14,36330,15058.09,1251
47,"Marshall County, Alabama",9189,96137,48679,7591,9396,15658,74666,2293,418,579,128,40045,51337.158,3290
48,"Mobile County, Alabama",25858,413977,216851,34406,47975,13425,226703,145435,3743,8515,216,42823,187945.558,157693
49,"Monroe County, Alabama",1215,21006,10912,2686,1390,207,10334,8253,281,88,0,38192,9032.58,8622
50,"Montgomery County, Alabama",16116,226451,119722,18554,31206,10684,73354,129801,364,7952,119,47776,87410.086,138117
51,"Morgan County, Alabama",10627,119352,60533,6779,12266,12377,88238,15307,631,829,79,44679,61704.984,16767
52,"Perry County, Alabama",867,9104,4760,802,661,89,2345,5914,15,10,1,36217,2221.376,5939
53,"Pickens County, Alabama",1734,20049,10475,1535,1504,1053,10066,7448,23,78,0,36861,8821.56,7549
54,"Pike County, Alabama",2023,33274,17263,4336,3857,905,18036,12068,169,577,9,40342,10847.324,12814
55,"Randolph County, Alabama",1245,22732,11701,1899,1604,605,16629,3814,50,86,1,35208,11797.908,3950
56,"Russell County, Alabama",2793,57938,30129,6459,4749,3195,26679,25930,180,408,128,36526,27114.984,26518
57,"Shelby County, Alabama",15668,216350,111753,7055,44511,16460,162712,28711,478,5114,91,59588,124617.6,34303
58,"St. Clair County, Alabama",6467,88929,44673,3893,8137,2575,74962,8617,249,655,20,43279,49711.311,9521
59,"Sumter County, Alabama",849,12595,6851,1691,777,131,2937,8955,26,102,3,35310,4471.225,9083
60,"Talladega County, Alabama",5165,80244,41539,6354,5138,1779,50732,26340,184,395,27,38300,35788.824,26919
61,"Tallapoosa County, Alabama",2368,40450,20818,3052,3474,1144,28252,10366,84,222,0,45058,20184.55,10672
62,"Tuscaloosa County, Alabama",18468,208854,108309,17182,26658,12298,134880,68779,420,3241,94,42868,90016.074,72440
63,"Walker County, Alabama",5259,63802,32466,4692,3949,2152,56394,3889,187,283,2,44095,33368.446,4359
64,"Washington County, Alabama",1184,16336,8248,1036,714,138,10267,3318,1102,14,2,40371,8266.016,4434
65,"Wilcox County, Alabama",883,10552,5681,870,565,112,2866,7425,11,7,5,38273,3545.472,7443
66,"Winston County, Alabama",1968,23712,12065,1738,1447,815,21598,131,83,58,9,38382,13017.888,272
67,"Apache County, Arizona",7438,71714,36326,13487,3557,3861,13791,184,46509,307,18,38915,25386.756,47000
68,"Cochise County, Arizona",7480,126442,62071,6555,14249,42615,68256,4371,762,2587,421,45786,63473.884,7720
69,"Coconino County, Arizona",11126,142254,72130,10699,20971,21719,76904,1777,35143,2582,254,53036,54341.028,39502
70,"Gila County, Arizona",4517,53846,27175,4907,4925,9283,32757,239,8655,427,45,44201,27138.384,9321
71,"Graham County, Arizona",3228,38304,17846,3769,2593,11428,20398,453,5143,169,16,35072,16087.68,5765
72,"Greenlee County, Arizona",400,9465,4403,638,777,4376,4446,80,275,68,1,44050,4779.825,423
73,"La Paz County, Arizona",1464,21035,10285,2427,1385,4197,9061,102,2354,111,41,39482,11064.41,2567
74,"Maricopa County, Arizona",322449,4412779,2230812,257624,666221,1351415,2357571,245239,68353,197910,9579,53521,2078418.909,511502
75,"Mohave County, Arizona",12573,210998,104556,14206,14171,34126,160165,2063,4053,2600,365,36529,105709.998,8716
76,"Navajo County, Arizona",11296,110271,54994,14244,7273,10887,44786,674,46572,548,68,36169,47637.072,47794
77,"Pima County, Arizona",69522,1038476,527601,74465,146265,372788,536868,36254,23670,29844,1937,48373,465237.248,89768
78,"Pinal County, Arizona",27649,447559,215137,24356,45478,121533,240006,20712,17156,6290,1081,35949,225569.736,44158
79,"Santa Cruz County, Arizona",6002,46594,24158,3344,4075,39632,7119,114,78,271,13,42204,23576.564,463
80,"Yavapai County, Arizona",11319,232396,118897,12260,27477,34390,183296,1415,3319,2802,269,44490,122472.692,7536
81,"Yuma County, Arizona",27366,211931,102694,16334,14508,130003,61123,3484,1888,2321,215,40800,111051.844,7693
82,"Arkansas County, Arkansas",1314,17761,9263,1033,1387,636,11575,4138,34,94,9,50534,8827.217,4266
83,"Ashley County, Arkansas",1273,20000,10341,1226,1288,1114,12685,4644,25,41,6,38489,11140.0,4710
84,"Baxter County, Arkansas",2065,41673,21432,1610,3838,1058,38049,88,218,234,9,39950,24170.34,540
85,"Benton County, Arkansas",17758,273510,137412,8814,43908,50540,191761,4523,3799,13602,2598,94289,159456.33,21924
86,"Boone County, Arkansas",2571,37525,19021,1994,3078,973,33753,96,265,233,27,38108,21389.25,594
87,"Bradley County, Arkansas",940,10805,5703,818,792,1575,5708,2921,29,27,0,42037,5402.5,2977
88,"Calhoun County, Arkansas",234,5160,2579,383,255,127,3499,913,3,5,9,38509,2337.48,921
89,"Carroll County, Arkansas",2073,28062,14084,1683,2889,4306,21175,88,253,564,432,34692,15490.224,905
90,"Chicot County, Arkansas",1410,10433,5266,1504,743,581,3887,5387,26,38,9,44762,4538.355,5451
91,"Clark County, Arkansas",1371,22341,11754,2002,2494,1092,14093,5068,76,150,16,39450,9472.584,5294
92,"Clay County, Arkansas",1317,14710,7472,1075,788,327,13574,40,44,14,5,39157,7693.33,98
93,"Cleburne County, Arkansas",1236,25063,12547,1356,1989,632,22748,56,112,96,11,41656,14411.225,264
94,"Cleveland County, Arkansas",571,8063,4238,576,674,182,6429,675,21,7,1,40366,4225.012,703
95,"Columbia County, Arkansas",1567,23620,12268,2994,2079,773,13236,7834,71,163,0,38806,10581.76,8068
96,"Conway County, Arkansas",1306,20895,10595,1196,2070,886,16148,2190,136,89,8,40633,10781.82,2415
97,"Craighead County, Arkansas",10077,109081,55837,7790,13198,6727,79137,18331,270,1684,54,40728,52577.042,20285
98,"Crawford County, Arkansas",4451,63118,32012,4788,5702,4567,47627,857,1366,939,27,35919,36608.44,3162
99,"Crittenden County, Arkansas",4319,48381,25364,4533,3769,1428,18948,25804,115,322,17,41474,19352.4,26241
100,"Cross County, Arkansas",1394,16576,8592,1015,973,352,12067,3651,38,102,5,41715,8586.368,3791
101,"Dallas County, Arkansas",482,7114,3659,443,489,201,3425,2582,14,7,0,40611,3300.896,2603
102,"Desha County, Arkansas",953,11538,6231,1332,841,773,4732,5385,36,61,0,44920,5365.17,5482
103,"Drew County, Arkansas",1448,18263,9377,1764,1959,656,11148,4815,68,100,9,40726,8218.35,4983
104,"Faulkner County, Arkansas",7618,124800,64133,8646,17831,6790,92573,14274,562,1461,61,41943,59404.8,16297
105,"Franklin County, Arkansas",1088,17785,8940,1707,1145,491,15201,78,199,162,10,33885,8945.855,439
106,"Fulton County, Arkansas",884,12301,6276,804,706,154,11201,27,66,35,0,31840,6630.239,128
107,"Garland County, Arkansas",5782,99043,51575,6898,11537,7047,77239,8034,623,960,71,44358,47639.683,9617
108,"Grant County, Arkansas",1071,18229,9196,722,1838,440,16166,447,70,76,1,41674,9953.034,593
109,"Greene County, Arkansas",4431,45197,23070,3429,3915,1596,40509,926,138,181,287,38560,24767.956,1245
110,"Hempstead County, Arkansas",1220,21695,11670,1312,1554,2953,10558,5644,81,88,5,33760,10760.72,5813
111,"Hot Spring County, Arkansas",3636,33667,16004,1425,2604,1265,26221,3450,165,114,11,34110,17641.508,3729
112,"Howard County, Arkansas",1106,13267,6939,1034,919,1517,7982,2626,82,62,4,34751,6421.228,2770
113,"Independence County, Arkansas",2751,37585,19123,2174,3284,3258,31511,830,133,340,30,38266,20220.73,1303
114,"Izard County, Arkansas",1298,13596,6448,507,1078,326,12175,256,73,27,9,32606,7001.94,356
115,"Jackson County, Arkansas",2821,16908,8535,1067,954,461,12754,2764,43,63,4,41646,6813.924,2870
116,"Jefferson County, Arkansas",6718,68123,34475,5687,5874,1488,25230,37712,212,664,93,39443,27657.938,38588
117,"Johnson County, Arkansas",1823,26475,13476,1657,2072,3439,19400,454,202,918,27,30728,14084.7,1574
118,"Lafayette County, Arkansas",342,6728,3354,738,610,145,3870,2043,29,32,5,38307,3168.888,2104
119,"Lawrence County, Arkansas",1574,16511,8266,809,1198,357,14925,138,41,38,10,38065,8948.962,217
120,"Lee County, Arkansas",1430,8963,3870,1082,466,216,3424,4657,18,13,1,32359,3199.791,4688
121,"Lincoln County, Arkansas",2820,13278,4811,638,682,619,8188,3650,27,23,9,29008,5815.764,3700
122,"Little River County, Arkansas",821,12345,6459,407,896,409,8593,2164,161,19,9,37075,6444.09,2344
123,"Logan County, Arkansas",1419,21619,10970,1295,1329,640,18586,225,228,328,8,34433,11739.117,781
124,"Lonoke County, Arkansas",4133,73163,37218,3157,7595,3610,60596,4349,314,716,49,43537,39288.531,5379
125,"Madison County, Arkansas",1025,16393,8064,1065,850,890,14075,36,205,102,238,34012,9294.831,343
126,"Marion County, Arkansas",629,16586,8554,1416,1430,379,15414,20,127,56,0,33493,8923.268,203
127,"Miller County, Arkansas",2749,43515,22126,3474,3651,1583,27593,10922,246,205,4,37065,19886.355,11373
128,"Mississippi County, Arkansas",4393,41396,21158,3066,2844,1771,22861,14251,67,242,3,37730,18793.784,14560
129,"Monroe County, Arkansas",475,6879,3583,937,485,186,3538,2751,30,28,7,40475,2717.205,2809
130,"Montgomery County, Arkansas",492,8964,4488,504,645,415,7499,13,92,47,5,32125,5557.68,152
131,"Nevada County, Arkansas",594,8249,4111,369,448,354,5145,2433,37,41,0,35808,3984.267,2511
132,"Newton County, Arkansas",553,7753,3922,331,623,82,6658,6,66,24,1,32731,4302.915,96
133,"Ouachita County, Arkansas",1370,23597,12444,2097,1560,516,12092,8856,49,123,3,41877,10689.441,9028
134,"Perry County, Arkansas",438,10342,5037,797,980,286,9069,107,43,12,0,38404,5615.706,162
135,"Phillips County, Arkansas",1264,18151,9623,2622,1389,264,5541,10305,38,64,4,38155,7387.457,10407
136,"Pike County, Arkansas",685,10714,5432,528,938,831,8525,238,83,16,0,33920,6406.972,337
137,"Poinsett County, Arkansas",2406,23747,12161,1620,1400,829,19163,1773,91,56,1,37307,12039.729,1920
138,"Polk County, Arkansas",1255,19999,10252,1153,1418,1278,16092,39,335,100,9,32573,10699.465,474
139,"Pope County, Arkansas",5448,63926,32379,3413,7360,6415,50037,2060,456,664,23,36617,30492.702,3180
140,"Prairie County, Arkansas",545,8138,4137,391,772,145,6924,922,19,20,3,42843,4386.382,961
141,"Pulaski County, Arkansas",24662,393078,205618,29267,61907,33153,193993,142139,1169,9933,208,55563,169023.54,153241
142,"Randolph County, Arkansas",1455,17934,8927,1149,1117,384,16553,140,84,73,595,36401,9451.218,297
143,"Saline County, Arkansas",7563,120990,61832,4081,16102,8507,96745,10351,522,1453,70,45692,66302.52,12326
144,"Scott County, Arkansas",588,10269,4860,572,611,748,8031,31,183,275,5,32290,6346.242,489
145,"Searcy County, Arkansas",503,7898,3950,461,478,140,7092,5,65,20,5,31657,4675.616,90
146,"Sebastian County, Arkansas",9514,127670,65220,8266,13425,19328,82785,7891,2379,5700,91,45586,63579.66,15970
147,"Sevier County, Arkansas",2079,16947,8359,1019,1014,5508,8400,550,305,60,241,32926,9303.903,915
148,"Sharp County, Arkansas",1134,17217,8769,987,920,362,15729,114,121,57,20,35612,9142.227,292
149,"St. Francis County, Arkansas",2728,25477,11216,2585,1159,686,9206,12501,65,122,0,30903,9630.306,12688
150,"Stone County, Arkansas",765,12582,6371,745,899,271,11387,21,87,25,2,32753,6291.0,133
151,"Union County, Arkansas",2428,39089,20264,3420,4159,1754,22904,12670,108,273,16,48669,18489.097,13051
152,"Van Buren County, Arkansas",743,16578,8396,930,1201,501,14319,71,110,56,0,34482,9018.432,237
153,"Washington County, Arkansas",21420,236198,117983,17288,31439,44755,160566,8330,2443,5631,8734,43817,111721.654,16404
154,"White County, Arkansas",4748,78725,40212,4533,6973,3499,64363,3677,319,616,25,39598,39205.05,4612
155,"Woodruff County, Arkansas",362,6477,3472,738,438,96,4235,1601,8,22,0,45248,3426.333,1631
156,"Yell County, Arkansas",2390,21425,10587,1426,1320,4204,14710,226,111,202,11,33506,11205.275,539
157,"Alameda County, California",51611,1661584,844443,76379,355880,393749,472277,159499,4131,540511,13209,87078,807529.824,704141
158,"Alpine County, California",65,1159,540,55,179,84,801,10,214,12,0,76175,660.63,236
159,"Amador County, California",2417,39023,17944,1619,3797,6014,29725,1215,577,554,73,47721,19823.684,2346
160,"Butte County, California",7390,223344,112953,19418,30637,40112,139651,3320,3050,10333,508,50279,94027.824,16703
161,"Calaveras County, California",1131,45828,22919,2490,4944,5865,34668,334,497,706,75,53026,24655.464,1537
162,"Colusa County, California",1351,21491,10498,901,1600,13476,6941,182,280,252,70,57382,10681.027,714
163,"Contra Costa County, California",40697,1147788,586593,45167,225002,314900,455421,97994,2553,214520,5720,92264,594554.184,315067
164,"Del Norte County, California",760,27692,12947,2199,1896,5321,16262,841,2136,826,28,40192,12129.096,3803
165,"El Dorado County, California",5590,190345,95572,6942,33943,26459,140141,1436,1273,9024,276,72662,108306.305,11733
166,"Fresno County, California",65400,990204,496148,87576,96061,540743,271889,44295,6074,109665,1233,48495,440640.78,160034
167,"Glenn County, California",1458,28060,13692,1647,2131,12541,13897,140,531,626,39,52219,15376.88,1297
168,"Humboldt County, California",1764,136101,68563,12657,20400,18535,93316,1729,7454,3495,436,50182,52262.784,12678
169,"Imperial County, California",22267,180580,87971,15963,12859,153027,16813,3846,1584,2244,82,44500,76204.76,7674
170,"Inyo County, California",571,17930,8691,823,2205,4399,11035,85,2189,273,13,64335,8767.77,2547
171,"Kern County, California",68969,892458,435215,75627,66068,499158,279600,46776,5197,44257,1127,44721,411423.138,96230
172,"Kings County, California",16114,151090,67880,10012,10401,86607,44361,8300,1690,5511,331,41829,70710.12,15501
173,"Lake County, California",1817,64276,32177,5290,5256,15442,44202,1158,1737,940,89,47144,28602.82,3835
174,"Lassen County, California",4691,30600,10558,1102,2093,7531,19534,2244,939,472,283,40490,13280.4,3655
175,"Los Angeles County, California",770915,10040682,5091117,596705,1624101,4804763,2563609,760689,18453,1474237,20522,68272,4307452.578,2253379
176,"Madera County, California",10491,155925,80618,10628,11250,93178,48399,4131,1738,3581,122,44532,76403.25,9450
177,"Marin County, California",9800,259441,132912,8331,68630,49410,173149,6120,555,16175,457,145575,135947.084,22850
178,"Mariposa County, California",252,17319,8389,1222,2451,2140,12838,105,410,287,15,57828,8884.647,802
179,"Mendocino County, California",2558,87110,44003,5207,9457,23933,56205,607,3528,1730,110,54795,39286.61,5865
180,"Merced County, California",19444,273661,135433,22411,17803,173857,68729,8191,1164,19824,617,43914,123694.772,29179
181,"Modoc County, California",323,8853,4349,467,828,1259,6446,66,387,61,13,52779,4780.62,514
182,"Mono County, California",868,14395,6688,933,2217,3507,8679,68,177,159,26,54586,5700.42,404
183,"Monterey County, California",27859,432977,212558,20436,46496,265321,120077,9051,1314,25123,1859,61510,205664.075,35488
184,"Napa County, California",5742,138572,69522,4551,24828,48829,68909,2300,507,10520,316,82408,69701.716,13327
185,"Nevada County, California",2609,99417,50474,4565,19184,10416,82810,416,695,1371,119,64876,52889.844,2482
186,"Orange County, California",166196,3170345,1605768,149894,613563,1086834,1198655,49304,5298,699124,7714,74618,1585172.5,753726
187,"Placer County, California",13755,391799,200408,14164,77502,60628,272471,6440,2010,34776,967,72279,220974.636,43226
188,"Plumas County, California",398,18844,9396,942,2319,1897,15999,102,382,145,40,55029,9648.128,629
189,"Riverside County, California",180553,2437864,1222631,130036,252498,1202295,788235,146762,11960,164889,6767,45834,1184801.904,323611
190,"Sacramento County, California",65540,1537948,785850,93753,227013,374434,650271,145724,7432,276295,18011,58307,707456.08,429451
191,"San Benito County, California",3673,61547,30562,2145,6153,39241,19785,479,221,2189,127,60807,31696.705,2889
192,"San Bernardino County, California",194377,2162532,1085931,134493,207249,1170913,566113,173322,8412,176204,6173,44831,992602.188,357938
193,"San Diego County, California",155658,3323970,1649458,166703,587754,1119629,1422205,145014,12841,400589,12991,66266,1585533.69,558444
194,"San Francisco County, California",23227,874784,428538,43181,267132,136761,341306,45071,1570,294220,3244,144818,347289.248,340861
195,"San Joaquin County, California",45583,751615,376974,44190,67155,325725,215530,56898,3135,134684,4977,51816,357017.125,194717
196,"San Luis Obispo County, California",10490,282517,139582,16501,46710,67921,183468,4330,1136,10001,340,62342,134478.092,15467
197,"San Mateo County, California",24589,765623,386376,23321,176366,191386,275902,14701,1021,227783,8840,141841,402717.698,243505
198,"Santa Barbara County, California",17391,444895,222371,28412,64384,210584,184746,6467,1731,25378,542,67879,200202.75,33576
199,"Santa Clara County, California",69879,1924379,949638,67602,408814,487357,555708,42148,3240,753399,5945,123661,1016072.112,798787
200,"Santa Cruz County, California",8749,273170,137937,15522,47981,94299,145551,2850,853,12072,277,75957,120467.97,15775
201,"Shasta County, California",8060,179267,91115,11445,19595,19730,136894,1761,4047,5839,323,51649,90350.568,11647
202,"Sierra County, California",24,2898,1424,66,217,377,2615,7,18,7,1,49139,1556.226,32
203,"Siskiyou County, California",1176,43516,21858,3348,4663,5527,32057,471,1757,866,38,49664,21932.064,3094
204,"Solano County, California",19216,444538,223308,18132,59414,128155,155125,60051,1624,70953,3775,58688,217823.62,132628
205,"Sonoma County, California",19055,496801,254144,22641,86086,141438,285792,7125,3053,22239,1708,71386,241942.087,32417
206,"Stanislaus County, California",37524,546235,275703,30632,45126,265978,207908,14302,2621,33169,3713,48954,263285.27,50092
207,"Sutter County, California",6505,96315,48225,5494,8607,31568,41366,1774,862,18014,279,50730,50180.115,20650
208,"Tehama County, California",2967,64176,32327,5837,5866,17938,41340,391,1167,985,96,46007,32729.76,2543
209,"Trinity County, California",251,12541,6172,1592,1275,937,11374,66,416,2212,24,43877,5844.106,2694
210,"Tulare County, California",33443,463955,231997,39492,28452,309895,125022,5332,3458,15997,511,46348,219450.715,24787
211,"Tuolumne County, California",2962,54147,26124,2280,6120,7124,42254,989,784,770,110,49708,26261.295,2543
212,"Ventura County, California",39559,845599,427008,31382,130892,365285,360850,13704,2020,63252,1415,67422,416034.708,78976
213,"Yolo County, California",8238,218774,112772,23881,33738,71700,93911,5722,948,29872,1079,58391,96260.56,36542
214,"Yuba County, California",3898,77524,38177,5630,6554,23520,41750,2831,1034,5583,372,46373,38451.904,9448
215,"Adams County, Colorado",40344,509844,252459,23074,60829,216649,239295,16054,2869,22583,753,48115,247784.184,41506
216,"Alamosa County, Colorado",935,16153,8166,922,1624,7701,7490,211,215,142,19,42974,7511.145,568
217,"Arapahoe County, Colorado",38457,649980,327716,21512,129643,135729,368047,68152,2654,41855,1634,66691,325639.98,112661
218,"Archuleta County, Colorado",485,13588,6879,624,2675,2159,10175,41,170,101,6,46287,8764.26,312
219,"Baca County, Colorado",189,3570,1780,169,427,346,2916,19,38,8,0,53223,2113.44,65
220,"Bent County, Colorado",1037,5677,2139,361,429,1760,3315,255,90,39,0,33591,2600.066,384
221,"Boulder County, Colorado",14706,324682,161339,21748,82411,48168,245203,3149,1112,16291,241,79649,148704.356,20552
222,"Broomfield County, Colorado",2804,69444,34740,1696,18018,9919,53904,927,197,5096,80,67495,37569.204,6220
223,"Chaffee County, Colorado",1020,19977,9437,867,3524,1841,16195,295,132,133,11,51361,11366.913,560
224,"Cheyenne County, Colorado",89,1999,1043,93,271,206,1470,1,5,3,0,61731,1353.323,9
225,"Clear Creek County, Colorado",279,9533,4701,230,2154,648,8149,49,41,82,7,67132,4404.246,172
226,"Conejos County, Colorado",315,8130,4042,579,891,3779,3465,14,44,21,2,39847,3642.24,79
227,"Costilla County, Colorado",161,3810,1816,383,410,1988,1234,33,34,55,0,38430,1756.41,122
228,"Crowley County, Colorado",1647,5733,1864,323,239,1608,3438,510,151,69,2,23751,2063.88,730
229,"Custer County, Colorado",148,4941,2551,181,882,178,4212,10,42,22,0,45691,3443.877,74
230,"Delta County, Colorado",1580,30758,15265,2253,3479,4329,24907,121,121,236,9,42127,16609.32,478
231,"Denver County, Colorado",47711,715878,357209,41659,172710,199460,388764,61098,3740,27198,1395,85411,270601.884,92036
232,"Dolores County, Colorado",52,1896,849,46,262,176,1950,18,36,6,4,42093,1130.016,60
233,"Douglas County, Colorado",15981,344280,172188,6055,91166,34110,278770,4788,970,19807,290,78980,212420.76,25565
234,"Eagle County, Colorado",3374,54960,25765,1763,13905,16858,36202,296,118,712,27,87872,26820.48,1126
235,"El Paso County, Colorado",41325,710499,351646,30454,116046,129984,480484,40759,3816,21629,2750,54151,377274.969,66204
236,"Elbert County, Colorado",987,26230,12980,654,4593,2067,22185,123,116,184,21,63970,15790.46,423
237,"Fremont County, Colorado",4662,47725,19917,1813,4482,6049,37713,1809,691,332,30,38952,25198.8,2832
238,"Garfield County, Colorado",3875,59605,29176,2109,8725,19564,38636,277,300,397,34,62581,34749.715,974
239,"Gilpin County, Colorado",125,6108,2809,202,1262,380,4952,32,36,85,4,55256,3243.348,153
240,"Grand County, Colorado",660,15536,7150,543,3221,1533,13435,59,56,83,17,57476,8078.72,198
241,"Gunnison County, Colorado",696,17119,7803,993,4935,1604,14254,77,70,121,7,51025,7292.694,268
242,"Hinsdale County, Colorado",13,781,453,48,197,30,693,8,6,2,1,49423,488.125,16
243,"Huerfano County, Colorado",276,6769,3321,530,822,2130,4231,53,77,24,0,46859,3648.491,154
244,"Jackson County, Colorado",33,1316,638,37,242,138,1161,0,12,2,2,62008,754.068,14
245,"Jefferson County, Colorado",29565,578795,290026,19018,131071,91514,435245,6653,2898,17694,464,68829,299237.015,27245
246,"Kiowa County, Colorado",75,1463,765,61,153,104,1247,3,0,9,1,66839,842.688,12
247,"Kit Carson County, Colorado",436,7246,3500,175,533,1409,5306,21,24,30,5,47198,4188.188,75
248,"La Plata County, Colorado",2226,56138,27886,2587,12212,7008,42392,182,2809,381,33,61304,28686.518,3372
249,"Lake County, Colorado",426,7845,3467,509,1846,2662,4293,31,46,63,8,40344,3443.955,140
250,"Larimer County, Colorado",15099,350523,175871,20407,73776,44662,282581,3448,1495,8365,265,58725,172457.316,13308
251,"Las Animas County, Colorado",506,14323,6828,1131,1364,5632,7965,183,145,108,12,43118,7276.084,436
252,"Lincoln County, Colorado",795,5608,2115,194,398,809,4252,275,61,40,22,35695,2736.704,376
253,"Logan County, Colorado",3238,22282,9986,767,2252,3511,16337,753,161,119,17,46217,10316.566,1033
254,"Mesa County, Colorado",9055,152962,77457,8467,20288,23278,120749,1020,933,1613,188,48435,75104.342,3566
255,"Mineral County, Colorado",42,853,455,13,252,47,775,0,4,3,0,73101,545.92,7
256,"Moffat County, Colorado",541,13150,6386,1271,1307,2124,10313,77,98,52,2,47467,6824.85,227
257,"Montezuma County, Colorado",1231,26266,13309,1194,3613,3109,18035,72,3166,128,24,46919,14341.236,3366
258,"Montrose County, Colorado",2114,42280,21406,2226,5261,9027,31126,159,262,334,26,45262,25790.8,755
